分组,队伍,号码,姓名,英文名,位置,出生日期,7m球员ID,备注
D,土耳其,19,尤努斯·阿克冈,Yunus Akgun,前锋,2000-7-7,,
D,土耳其,21,巴里斯·伊尔马兹,Baris Yilmaz,前锋,2000-5-23,,
D,土耳其,24,奥古斯·艾丁,Oguz Aydin,前锋,2000-10-27,,
D,土耳其,1,默尔特·居诺克,Fehmi Mert Gunok,守门员,1989-3-1,,
D,土耳其,12,巴因迪尔,Altay Bayindir,守门员,1998-4-14,,
D,土耳其,23,恰基尔,Ugurcan Cakir,守门员,1996-4-5,,
D,巴拉圭,2,古斯塔沃·贝拉斯克斯,Gustavo Velazquez,后卫,1991-4-17,,
D,巴拉圭,3,阿尔德雷特,Omar Federico Alderete Fernandez,后卫,1996-12-26,,
D,巴拉圭,4,胡安·卡塞雷斯,Juan Jose Caceres,后卫,2000-6-1,,
D,巴拉圭,5,法比安·巴尔布埃纳,Fabian Cornelio Balbuena Gonzalez,后卫,1991-8-23,,
D,巴拉圭,6,儒尼奥尔·阿隆索,Junior Osmar Ignacio Alonso Mujica,后卫,1993-2-9,,
D,巴拉圭,13,何塞·卡纳莱,Jose Maria Canale Dominguez,后卫,1996-7-20,,
D,巴拉圭,15,古斯塔沃·戈麦斯,Gustavo Raul Gomez Portillo,后卫,1993-5-6,,
D,巴拉圭,26,亚历杭德罗·迈达纳,Alexandro Maidana,后卫,2005-7-26,,
D,巴拉圭,8,迭戈·戈麦斯,Diego Gomez,中场,2003-3-27,,
D,巴拉圭,11,毛里西奥·普拉多,Mauricio Magalhaes Prado,中场,2001-6-22,,
D,巴拉圭,14,库巴斯,Adrian Andres Cubas,中场,1996-5-22,,
D,巴拉圭,16,达米安·博瓦迪利亚,Damian Josue Bobadilla Benitez,中场,2001-7-11,,
D,巴拉圭,17,罗梅罗·加马拉,,中场,1995-1-11,,
D,巴拉圭,19,胡里奥·恩西索,Julio Cesar Enciso,中场,2004-1-23,,
D,巴拉圭,20,布莱恩·奥赫达,Braian Oscar Ojeda Rodriguez,中场,2000-6-27,,
D,巴拉圭,23,马蒂亚斯·加拉尔萨,Matias Galarza Fonda,中场,2002-2-11,,
D,巴拉圭,7,拉蒙·索萨,Ramon Sosa Acosta,前锋,1999-8-31,,
D,巴拉圭,9,萨纳布里亚,Arnaldo Antonio Sanabria Ayala,前锋,1996-3-4,,
D,巴拉圭,10,阿尔米隆,Miguel Angel Almiron Rejala,前锋,1994-2-10,,
D,巴拉圭,18,阿莱士·阿尔塞,Alex Adrian Arce Barrios,前锋,1995-6-16,,
D,巴拉圭,21,加布里埃尔·阿瓦洛斯,Gabriel Avalos Stumpfs,前锋,1990-10-12,,
D,巴拉圭,24,古斯塔沃·卡瓦列罗,Gustavo Ruben Caballero Gonzalez,前锋,2001-9-21,,
D,巴拉圭,25,伊西德罗·皮塔,Isidro Miguel Pitta Saldivar,前锋,1999-8-14,,
D,巴拉圭,1,罗伯托·费尔南德斯,Roberto Fernandez Junior,守门员,1988-3-29,,
D,巴拉圭,12,奥兰多·吉尔,Orlando Gill,守门员,2000-6-11,,
D,巴拉圭,22,奥利维拉,Gaston Hernan Olveira Echeverria,守门员,1993-4-21,,
D,澳大利亚,2,米洛斯·德格内克,Milos Degenek,后卫,1994-4-28,,
D,澳大利亚,3,亚历山德罗·奇尔卡蒂,Alessandro Circati,后卫,2003-10-10,,
D,澳大利亚,4,雅各布·伊塔利亚诺,Jacob Italiano,后卫,2001-7-30,,
D,澳大利亚,5,乔丹·博斯,Jordan Bos,后卫,2002-10-29,,
D,澳大利亚,6,杰森·杰里亚,Jason Geria,后卫,1993-5-10,,
D,澳大利亚,15,凯·特温,Kai Trewin,后卫,2001-5-18,,
D,澳大利亚,16,贝希奇,Aziz Behich,后卫,1990-12-16,,
D,澳大利亚,19,苏塔,Harry Souttar,后卫,1998-10-22,,
D,澳大利亚,21,卡梅隆·伯吉斯,Cameron Burgess,后卫,1995-10-21,,
D,澳大利亚,25,卢卡斯·赫林顿,Lucas Herrington,后卫,2007-9-5,,
D,澳大利亚,8,康纳·梅特卡夫,Conor Metcalfe,中场,1999-11-5,,
D,澳大利亚,10,艾迪尼·赫鲁斯蒂奇,Ajdin Hrustic,中场,1996-7-5,,
D,澳大利亚,13,埃登·奥尼尔,,中场,1998-7-4,,
D,澳大利亚,14,卡梅隆·德夫林,Cameron Devlin,中场,1998-6-7,,
D,澳大利亚,22,杰克逊·欧文,Jackson Irvine,中场,1993-3-7,,
D,澳大利亚,24,保罗·恩斯特勒,,中场,2005-1-24,,
D,澳大利亚,7,马修·莱基,Mathew Leckie,前锋,1991-2-4,,
D,澳大利亚,9,穆罕默德·图雷,Mohamed Toure,前锋,2004-3-26,,
D,澳大利亚,11,马比尔,Awer Mabil,前锋,1995-9-15,,
D,澳大利亚,17,内斯托里·伊兰昆达,Nestory Irankunda,前锋,2006-2-9,,
D,澳大利亚,20,克里斯蒂安·沃尔帕托,Cristian Volpato,前锋,2003-11-15,,
D,澳大利亚,23,韦卢皮莱,Nishan Velupillay,前锋,2001-5-7,,
D,澳大利亚,26,泰特·延吉,Tete Yengi,前锋,2000-11-28,,
D,澳大利亚,1,马修·瑞安,Mathew David Ryan,守门员,1992-4-8,,
D,澳大利亚,12,保罗·伊佐,Paul Izzo,守门员,1995-1-6,,
D,澳大利亚,18,帕特里克·比奇,Patrick Beach,守门员,2003-8-6,,
D,美国,2,德斯特,Sergino Gianni Dest,后卫,2000-11-3,,
D,美国,3,克里斯·理查兹,Chris Richards,后卫,2000-3-28,,
D,美国,5,安东尼·罗宾逊,Antonee Robinson,后卫,1997-8-8,,
D,美国,6,特拉斯蒂,Auston Trusty,后卫,1998-8-12,,
D,美国,12,迈尔斯·罗宾逊,Miles Robinson,后卫,1997-3-14,,
D,美国,13,蒂莫西·里姆,Timothy Michael Ream,后卫,1987-10-5,,
D,美国,16,亚历克斯·弗里曼,Alex Freeman,后卫,2004-8-9,,
D,美国,22,马克·麦肯齐,,后卫,1999-2-25,,
D,美国,23,约瑟夫·斯卡利,Joseph Scally,后卫,2002-12-31,,
D,美国,4,泰勒·亚当斯,Tyler Adams,中场,1999-2-14,,
D,美国,7,乔凡尼·雷纳,Giovanni Reyna,中场,2002-11-13,,
D,美国,8,麦肯尼,,中场,1998-8-28,,
D,美国,10,普利西奇,Christian Pulisic,中场,1998-9-18,,
D,美国,11,布伦登·阿伦森,Brenden Aaronson,中场,2000-10-22,,
D,美国,14,塞巴斯蒂安·贝尔哈特,Sebastian Berhalter,中场,2001-5-10,,
D,美国,15,克里斯蒂安·罗尔丹,Cristian Roldan,中场,1995-6-3,,
D,美国,17,马利克·蒂尔曼,Malik Tillman,中场,2002-5-28,,
D,美国,9,里卡多·佩皮,Ricardo Pepi,前锋,2003-1-9,,
D,美国,18,阿尔夫斯滕,Max Arfsten,前锋,2001-4-19,,
D,美国,19,哈吉·赖特,Haji Wright,前锋,1998-3-27,,
D,美国,20,巴洛贡,Folarin Balogun,前锋,2001-7-3,,
D,美国,21,蒂莫西·维阿,Timothy Tarpeh Weah,前锋,2000-2-22,,
D,美国,26,亚历杭德罗·森德哈斯,Alejandro Zendejas Saavedra,前锋,1998-2-7,,
D,美国,1,马特·特纳,Matt Turner,守门员,1994-6-24,,
D,美国,24,马修·弗里兹,Matthew Freese,守门员,1998-9-2,,
D,美国,25,克里斯·布雷迪,Chris Brady,守门员,2004-3-3,,
E,厄瓜多尔,2,费利克斯·托雷斯,Felix Eduardo Torres Caicedo,后卫,1997-1-11,,
E,厄瓜多尔,3,因卡皮耶,Piero Martin Hincapie Reyna,后卫,2002-1-9,,
E,厄瓜多尔,4,乔尔·奥多涅兹,Joel Ordonez,后卫,2004-4-21,,
E,厄瓜多尔,6,威廉·帕乔,William Pacho,后卫,2001-10-16,,
E,厄瓜多尔,7,佩维斯·埃斯图皮尼安,Pervis Josue Estupinan Tenorio,后卫,1998-1-21,,
E,厄瓜多尔,17,安赫洛·普雷西亚多,Angelo Smit Preciado Quinonez,后卫,1998-2-18,,
E,厄瓜多尔,25,杰克逊·博罗索,Jackson Gabriel Porozo Vernaza,后卫,2000-8-4,,
E,厄瓜多尔,26,梅迪纳,Yaimar Medina,后卫,2004-11-5,,
E,厄瓜多尔,5,乔迪·阿尔西瓦尔,Jordy Alcivar,中场,1999-8-5,,
E,厄瓜多尔,9,耶博亚,John Yeboah Zamora,中场,2000-6-23,,
E,厄瓜多尔,10,肯德里·佩斯,Kendry Paez,中场,2007-5-4,,
E,厄瓜多尔,15,佩德罗·维特,Pedro Jeampierre Vite Uca,中场,2002-3-9,,
E,厄瓜多尔,18,德尼尔·卡斯蒂略,Denil Castillo,中场,2004-3-24,,
E,厄瓜多尔,21,阿兰·弗兰科,Alan Steven Franco Palma,中场,1998-8-21,,
E,厄瓜多尔,23,莫伊塞斯·凯塞多,Moises Isaac Caicedo Corozo,中场,2001-11-2,,
E,厄瓜多尔,8,安东尼·瓦伦西亚,Anthony Valencia,前锋,2003-7-21,,
E,厄瓜多尔,11,凯文·罗德里格斯,Kevin Jose Rodriguez Cortez,前锋,2000-3-4,,
E,厄瓜多尔,13,恩纳·瓦伦西亚,Enner Valencia,前锋,1989-11-4,,
E,厄瓜多尔,14,阿兰·明达,Alan Minda,前锋,2003-5-14,,
E,厄瓜多尔,16,乔迪·凯塞多,Jordy Josue Caicedo Medina,前锋,1997-11-18,,
E,厄瓜多尔,19,贡萨洛·普拉塔,Gonzalo Jordy Plata Jimenez,前锋,2000-11-1,,
E,厄瓜多尔,20,尼尔森·安古洛,Nilson David Angulo Ramirez,前锋,2003-6-19,,
E,厄瓜多尔,24,杰里米·阿雷瓦洛,Jeremy Arevalo,前锋,2005-3-19,,
E,厄瓜多尔,1,加林德斯,Hernan Ismael Galindez,守门员,1987-3-30,,
E,厄瓜多尔,12,莫伊塞斯·拉米雷斯,Wellington Moises Ramirez Preciado,守门员,2000-9-9,,
E,厄瓜多尔,22,贡萨洛·瓦莱,Gonzalo Roberto Valle Bustamante,守门员,1996-2-28,,
E,库拉索,2,舒兰迪·桑博,Shurandy Sambo,后卫,2001-8-19,,
E,库拉索,3,朱利安·加里,Jurien Gaari,后卫,1993-12-23,,
E,库拉索,4,罗森·范埃马,,后卫,1998-6-9,,
E,库拉索,5,弗洛拉努斯,Sherel Floranus,后卫,1998-8-23,,
E,库拉索,18,阿曼多·奥比斯波,Armando Obispo,后卫,1999-3-5,,
E,库拉索,20,布雷内特,Joshua Brenet,后卫,1994-3-20,,
E,库拉索,23,巴佐尔,Riechedly Bazoer,后卫,1996-10-12,,
E,库拉索,24,德韦隆·冯维尔,Deveron Fonville,后卫,2003-5-16,,
E,库拉索,6,罗蒙莱图伊,Godfried Roemeratoe,中场,1999-8-19,,
E,库拉索,7,朱尼尼奥·巴库纳,Juninho Bacuna,中场,1997-8-7,,
E,库拉索,8,利瓦诺·科梅内西亚,Livano Comenencia,中场,2004-2-3,,
E,库拉索,10,莱安德罗·巴库纳,Leandro Jones Johan Bacuna,中场,1991-8-21,,
E,库拉索,13,泰瑞斯·诺斯林,Tyrese Noslin,中场,2002-9-11,,
E,库拉索,15,阿尔贾尼·玛尔塔,,中场,2003-9-4,,
E,库拉索,21,陈达毅,Tahith Chong,中场,1999-12-4,,
E,库拉索,22,凯文·菲利达,Kevin Felida,中场,1999-11-11,,
E,库拉索,9,洛卡迪亚,Jurgen Locadia,前锋,1993-11-7,,
E,库拉索,11,杰里米·安东尼斯,Jeremy Antonisse,前锋,2002-3-29,,
E,库拉索,12,汉森,Sontje Hansen,前锋,2002-5-18,,
E,库拉索,14,肯基·格雷,Kenji Gorre,前锋,1994-9-29,,
E,库拉索,16,杰尔·马格利塔,Jearl Margaritha,前锋,2000-4-10,,
E,库拉索,17,库瓦斯,Brandley Kuwas,前锋,1992-9-19,,
E,库拉索,19,卡斯塔内尔,Gervane Kastaneer,前锋,1996-6-9,,
E,库拉索,1,埃洛伊·鲁姆,Eloy Room,守门员,1989-2-6,,
E,库拉索,25,多恩布施,Trevor Doornbusch,守门员,1999-7-6,,
E,库拉索,26,波达克,Tyrick Bodak,守门员,2002-2-15,,
E,德国,2,吕迪格,Antonio Rudiger,后卫,1993-3-3,,
E,德国,3,瓦尔德马尔·安东,Waldemar Anton,后卫,1996-7-20,,
E,德国,4,约纳坦·塔,Jonathan Glao Tah,后卫,1996-2-11,,
E,德国,15,施洛特贝克,Nico Schlotterbeck,后卫,1999-12-1,,
E,德国,18,纳撒尼尔·布朗,Nathaniel Brown,后卫,2003-6-16,,
E,德国,22,大卫·劳姆,David Raum,后卫,1998-4-22,,
E,德国,24,马利克·佳夫,Malick Thiaw,后卫,2001-8-8,,
E,德国,5,亚历山大·帕夫洛维奇,Aleksandar Pavlovic,中场,2004-5-3,,
E,德国,6,基米希,Joshua Kimmich,中场,1995-2-8,,
E,德国,8,格雷茨卡,Leon Goretzka,中场,1995-2-6,,
E,德国,10,穆西亚拉,Jamal Musiala,中场,2003-2-26,,
E,德国,13,格罗斯,Pascal Gross,中场,1991-6-15,,
E,德国,16,安杰洛·斯蒂勒,Angelo Stiller,中场,2001-4-4,,
E,德国,17,弗洛里安·维尔茨,Florian Wirtz,中场,2003-5-3,,
E,德国,20,阿米里,Nadiem Amiri,中场,1996-10-27,,
E,德国,23,费利克斯·恩梅查,Felix Nmecha,中场,2000-10-10,,
E,德国,25,韦德拉奥果,Assan Ouedraogo,中场,2006-5-9,,
E,德国,7,哈弗茨,Kai Havertz,前锋,1999-6-11,,
E,德国,9,杰米·勒威林,Jamie Leweling,前锋,2001-2-26,,
E,德国,11,尼克·沃尔特马德,Nick Woltemade,前锋,2002-2-14,,
E,德国,14,马克西米利安·拜尔,Maximilian Beier,前锋,2002-10-17,,
E,德国,19,萨内,Leroy Sane,前锋,1996-1-11,,
E,德国,26,昂达夫,Deniz Undav,前锋,1996-7-19,,
E,德国,1,诺伊尔,Manuel Neuer,守门员,1986-3-27,,
E,德国,12,鲍曼,Oliver Baumann,守门员,1990-6-2,,
E,德国,21,努贝尔,Alexander Nubel,守门员,1996-9-30,,
E,科特迪瓦,2,奥斯曼·迪奥曼德,Ousmane Diomande,后卫,2003-12-4,,
E,科特迪瓦,3,吉斯兰·科南,,后卫,1995-12-27,,
E,科特迪瓦,5,威尔弗里德·辛戈,Wilfried Stephane Singo,后卫,2000-12-25,,
E,科特迪瓦,7,奥迪隆·科苏努,Odilon Kossounou,后卫,2001-1-4,,
E,科特迪瓦,13,克里斯托弗·奥佩里,Christopher Operi,后卫,1997-4-29,,
E,科特迪瓦,17,盖拉·杜埃,Guela Doue,后卫,2002-10-17,,
E,科特迪瓦,20,阿格巴杜,Emmanuel Agbadou,后卫,1997-6-17,,
E,科特迪瓦,21,恩迪卡,,后卫,1999-8-20,,
E,科特迪瓦,4,简·塞里,Jean Michael Seri,中场,1991-7-19,,
E,科特迪瓦,6,塞科·福法纳,Seko Fofana,中场,1995-5-7,,
E,科特迪瓦,8,凯西,Franck Yannick Kessie,中场,1996-12-19,,
E,科特迪瓦,18,桑加雷,Ibrahim Sangare,中场,1997-12-2,,
E,科特迪瓦,25,圭阿贡,Parfait Guiagon,中场,2001-2-22,,
E,科特迪瓦,26,克里斯特·欧莱,Christ Ravynel Inao Oulai,中场,2006-4-6,,
E,科特迪瓦,9,博尼,,前锋,2003-10-25,,
E,科特迪瓦,10,西蒙·阿丁拉,Simon Adingra,前锋,2002-1-1,,
E,科特迪瓦,11,迪奥曼德,Yan Diomande,前锋,2006-11-14,,
E,科特迪瓦,12,埃莱·瓦希,Sepe Elye Wahi,前锋,2003-1-2,,
E,科特迪瓦,14,奥马尔·迪亚基特,Oumar Diakite,前锋,2003-12-20,,
E,科特迪瓦,15,阿马德·迪亚洛,Amad Diallo Traore,前锋,2002-7-11,,
E,科特迪瓦,19,尼古拉斯·佩佩,Nicolas Pepe,前锋,1995-5-29,,
E,科特迪瓦,22,埃文·盖桑,Evann Guessand,前锋,2001-7-1,,
E,科特迪瓦,24,巴佐马纳·图雷,Bazoumana Toure,前锋,2006-3-2,,
E,科特迪瓦,1,弗法纳,Yahia Fofana,守门员,2000-8-21,,
E,科特迪瓦,16,穆罕默德·科内,Mohamed Kone,守门员,2002-3-7,,
E,科特迪瓦,23,阿尔班·拉冯,Alban Lafont,守门员,1999-1-23,,
F,日本,2,菅原由势,Yukinari Sugawara,后卫,2000-6-28,,
F,日本,3,谷口彰悟,Shogo Taniguchi,后卫,1991-7-15,,
F,日本,4,板仓滉,Ko Itakura,后卫,1997-1-27,,
F,日本,5,长友佑都,Yuto Nagatomo,后卫,1986-9-12,,
F,日本,16,渡边刚,Tsuyoshi Watanabe,后卫,1997-2-5,,
F,日本,20,濑古步梦,Ayumu Seko,后卫,2000-6-7,,
F,日本,21,伊藤洋辉,Hiroki Ito,后卫,1999-5-12,,
F,日本,22,富安健洋,Takehiro Tomiyasu,后卫,1998-11-5,,
F,日本,25,铃木淳之介,Junnosuke Suzuki,后卫,2003-7-12,,
F,日本,7,田中碧,Ao Tanaka,中场,1998-9-10,,
F,日本,10,堂安律,Ritsu Doan,中场,1998-6-16,,
F,日本,15,镰田大地,Daichi Kamada,中场,1996-8-5,,
F,日本,17,铃木唯人,Yuito Suzuki,中场,2001-10-25,,
F,日本,24,佐野海舟,Kaishu Sano,中场,2000-12-30,,
F,日本,6,町野修斗,Shuto Machino,前锋,1999-9-30,,
F,日本,8,久保建英,Takefusa Kubo,前锋,2001-6-4,,
F,日本,9,后藤啓介,Keisuke Goto,前锋,2005-6-3,,
F,日本,11,前田大然,Daizen Maeda,前锋,1997-10-20,,
F,日本,13,中村敬斗,Keito Nakamura,前锋,2000-7-28,,
F,日本,14,伊东纯也,Junya Ito,前锋,1993-3-9,,
F,日本,18,上田绮世,Ayase Ueda,前锋,1998-8-28,,
F,日本,19,小川航基,Koki Ogawa,前锋,1997-8-8,,
F,日本,26,盐贝健人,Kento Shiogai,前锋,2005-3-26,,
F,日本,1,铃木彩艳,Zion Suzuki,守门员,2002-8-21,,
F,日本,12,大迫敬介,Keisuke Osako,守门员,1999-7-28,,
F,日本,23,早川友基,Tomoki Hayakawa,守门员,1999-3-3,,
F,瑞典,2,古斯塔夫·拉格比耶尔克,Gustaf Lagerbielke,后卫,2000-4-10,,
F,瑞典,3,林德洛夫,Victor Jorgen Nilsson Lindelof,后卫,1994-7-17,,
F,瑞典,4,伊萨克·希恩,Isak Hien,后卫,1999-1-13,,
F,瑞典,5,加布里埃尔·古德蒙松,Gabriel Gudmundsson,后卫,1999-4-29,,
F,瑞典,6,赫尔曼·约翰松,Herman Johansson,后卫,1997-10-16,,
F,瑞典,8,丹尼尔·斯文松,Daniel Svensson,后卫,2002-2-12,,
F,瑞典,14,哈尔马·埃克达尔,Hjalmar Ekdal,后卫,1998-10-21,,
F,瑞典,15,卡尔·斯塔费尔特,Carl Starfelt,后卫,1995-6-1,,
F,瑞典,20,埃里克·史密斯,Eric Anders Smith,后卫,1997-1-8,,
F,瑞典,7,卢卡斯·贝里瓦尔,Lucas Bergvall,中场,2006-2-2,,
F,瑞典,13,肯·塞马,Ken Nlata Sema,中场,1993-9-30,,
F,瑞典,16,卡尔斯特伦,Jesper Karlstrom,中场,1995-6-21,,
F,瑞典,18,亚辛·阿亚里,Yasin Abbas Ayari,中场,2003-10-6,,
F,瑞典,19,斯万贝里,Mattias Svanberg,中场,1999-1-5,,
F,瑞典,22,贝斯福特·泽内利,Besfort Zeneli,中场,2002-11-21,,
F,瑞典,24,埃利奥特·斯特劳德,Elliot Stroud,中场,2002-6-22,,
F,瑞典,26,塔哈·阿里,Taha Ali,中场,1998-7-1,,
F,瑞典,9,伊萨克,Alexander Isak,前锋,1999-9-21,,
F,瑞典,10,本杰明·尼格伦,Benjamin Nygren,前锋,2001-7-8,,
F,瑞典,11,安东尼·埃兰加,Anthony David Junior Elanga,前锋,2002-4-27,,
F,瑞典,17,维克多·约克雷斯,Viktor Gyokeres,前锋,1998-6-4,,
F,瑞典,21,伯恩哈德松,Alexander Bernhardsson,前锋,1998-9-8,,
F,瑞典,25,古斯塔夫·尼尔松,Gustaf Nilsson,前锋,1997-5-23,,
F,瑞典,1,塞特斯特伦,Jacob Widell Zetterstrom,守门员,1998-7-11,,
F,瑞典,12,维克托·约翰松,Viktor Johansson,守门员,1998-9-14,,
F,瑞典,23,克里斯托弗·诺德菲尔特,Kristoffer Nordfeldt,守门员,1989-6-23,,
F,突尼斯,2,阿里·阿卜迪,Ali Abdi,后卫,1993-12-20,,
F,突尼斯,3,塔勒比,Montassar Talbi,后卫,1998-5-26,,
F,突尼斯,4,奥马尔·雷基克,Omar Rekik,后卫,2001-12-20,,
F,突尼斯,5,亚登·阿罗斯,Adem Arous,后卫,2004-7-17,,
F,突尼斯,6,布隆,Dylan Daniel Mahmoud Bronn,后卫,1995-6-19,,
F,突尼斯,20,瓦莱里,Yan Valery,后卫,1999-2-22,,
F,突尼斯,21,哈米达,Mohamed Amine Ben Hamida,后卫,1995-12-15,,
F,突尼斯,23,穆塔斯·内法蒂,Moutaz Neffati,后卫,2004-9-4,,
F,突尼斯,24,茨克哈尤,Raed Chikhaoui,后卫,2004-6-9,,
F,突尼斯,7,埃利亚斯·阿乔里,Elias Achouri,中场,1999-2-10,,
F,突尼斯,10,汉尼拔·梅布里,Hannibal Mejbri,中场,2003-1-21,,
F,突尼斯,12,莫塔达·奥内斯,Mortadha Ben Ouanes,中场,1994-7-2,,
F,突尼斯,13,拉尼·赫迪拉,Rani Khedira,中场,1994-1-27,,
F,突尼斯,15,哈吉·马哈茂德,Hadj Mahmoud,中场,2000-4-24,,
F,突尼斯,17,斯希里,Ellyes Skhiri,中场,1995-5-10,,
F,突尼斯,25,阿尼斯·苏莱曼,Anis Slimane,中场,2001-3-16,,
F,突尼斯,8,埃利亚斯·萨阿德,Elias Saad,前锋,1999-12-27,,
F,突尼斯,9,哈泽姆·马斯图里,Hazem Mastouri,前锋,1997-6-18,,
F,突尼斯,11,伊斯梅尔·加比,Ismael Gharbi,前锋,2004-4-10,,
F,突尼斯,14,哈尔伊尔·阿亚里,Khalil Ayari,前锋,2005-2-2,,
F,突尼斯,18,拉扬·埃罗米,Rayan Elloumi,前锋,2007-9-17,,
F,突尼斯,19,弗拉斯·查奥特,Firas Chaouat,前锋,1996-5-8,,
F,突尼斯,26,塞巴斯蒂安·图内克提,Sebastian Tounekti,前锋,2002-7-13,,
F,突尼斯,1,阿卜杜勒穆希卜·沙马赫,Abdelmouhib Chamakh,守门员,2001-8-25,,
F,突尼斯,16,艾门·达蒙,Aymen Dahmen,守门员,1997-1-28,,
F,突尼斯,22,本·赫森,Sabri Ben Hessen,守门员,1996-6-13,,
F,荷兰,2,海特勒伊达,Lutsharel Geertruida,后卫,2000-7-18,,
F,荷兰,4,范迪克,,后卫,1991-7-8,,
F,荷兰,5,阿克,Nathan Benjamin Ake,后卫,1995-2-18,,
F,荷兰,6,保罗·范海克,Jan Paul Van Hecke,后卫,2000-6-8,,
F,荷兰,15,范德芬,,后卫,2001-4-19,,
F,荷兰,22,邓弗里斯,Denzel Dumfries,后卫,1996-4-18,,
F,荷兰,25,约雷尔·哈托,Jorrel Hato,后卫,2006-3-7,,
F,荷兰,3,德容恩,,中场,1991-3-29,,
F,荷兰,8,赫拉芬贝赫,Ryan Jiro Gravenberch,中场,2002-5-16,,
F,荷兰,12,马茨·魏费尔,Mats Wieffer,中场,1999-11-16,,
F,荷兰,14,赖因德斯,Tijjani Reijnders,中场,1998-7-29,,
F,荷兰,16,古斯·蒂尔,Guus Til,中场,1997-12-22,,
F,荷兰,20,库普梅纳斯,Teun Koopmeiners,中场,1998-2-28,,
F,荷兰,21,弗兰基·德容,,中场,1997-5-12,,
F,荷兰,26,昆滕·廷贝尔,Quinten Timber,中场,2001-6-17,,
F,荷兰,7,克鲁伊维特,Justin Kluivert,前锋,1999-5-5,,
F,荷兰,9,韦格霍斯特,Wout Weghorst,前锋,1992-8-7,,
F,荷兰,10,德佩,Memphis Depay,前锋,1994-2-13,,
F,荷兰,11,加克波,Cody Mathes Gakpo,前锋,1999-5-7,,
F,荷兰,17,诺亚·朗,Noa Noell Lang,前锋,1999-6-17,,
F,荷兰,18,马伦,Donyell Malen,前锋,1999-1-19,,
F,荷兰,19,布莱恩·布罗比,Brian Ebenezer Adjei Brobbey,前锋,2002-2-1,,
F,荷兰,24,萨默维尔,Crysencio Summerville,前锋,2001-10-30,,
F,荷兰,1,维尔布鲁根,Bart Verbruggen,守门员,2002-8-18,,
F,荷兰,13,罗宾·罗埃夫斯,Robin Roefs,守门员,2003-1-17,,
F,荷兰,23,马克·弗莱肯,Mark Flekken,守门员,1993-6-13,,
G,伊朗,2,萨达特·哈达尼,Saadat Hardani,后卫,1998-12-26,,
G,伊朗,3,哈伊萨菲,Ehsan Hajysafi,后卫,1990-2-25,,
G,伊朗,4,哈里扎德,Shoja Khalilzadeh,后卫,1989-5-14,,
G,伊朗,5,米拉德·穆罕默迪,Milad Mohammadi,后卫,1993-9-29,,
G,伊朗,13,侯赛因·卡纳尼,Hossein Kanaani,后卫,1994-3-23,,
G,伊朗,17,阿里亚·尤塞菲,Aria Yousefi,后卫,2002-4-22,,
G,伊朗,19,阿里·内马蒂,Ali Nemati,后卫,1996-2-7,,
G,伊朗,23,雷扎里安,Ramin Rezaian Semeskandi,后卫,1990-3-21,,
G,伊朗,25,丹尼尔·埃里,Danial Eiri,后卫,2003-10-26,,
G,伊朗,6,埃扎托拉希,Saeid Ezatolahi Afagh,中场,1996-10-1,,
G,伊朗,14,萨曼·古多斯,Saman Ghoddos,中场,1993-9-6,,
G,伊朗,15,鲁兹贝·切什米,Roozbeh Cheshmi,中场,1993-6-24,,
G,伊朗,21,穆罕默德·戈尔巴尼,Mohammad Ghorbani,中场,2001-5-21,,
G,伊朗,26,阿米尔穆罕默德·拉扎吉尼亚,Amirmohammad Razzaghinia,中场,2006-4-11,,
G,伊朗,7,贾汉巴赫什,Alireza Jahanbakhsh,前锋,1993-8-11,,
G,伊朗,8,穆罕默德·莫赫比,Mohammad Mohebi,前锋,1998-12-20,,
G,伊朗,9,迈赫迪·塔雷米,Mehdi Taremi,前锋,1992-7-18,,
G,伊朗,10,迈赫迪·加埃迪,Mehdi Ghaedi,前锋,1998-12-5,,
G,伊朗,11,阿里普尔,Ali Alipour,前锋,1995-11-11,,
G,伊朗,16,托拉比,Mehdi Torabi,前锋,1994-9-10,,
G,伊朗,18,侯赛因扎德,Amirhossein Hosseinzadeh,前锋,2000-10-30,,
G,伊朗,20,沙赫里亚尔·莫汉卢,Shahriar Moghanlou,前锋,1994-12-21,,
G,伊朗,24,丹尼斯·埃克特,Dennis Eckert,前锋,1997-1-9,,
G,伊朗,1,阿里雷扎·贝兰万德,Alireza Beiranvand,守门员,1992-9-21,,
G,伊朗,12,尼亚兹曼德,Seyed Payam Niazmand,守门员,1995-4-6,,
G,伊朗,22,侯赛因·侯赛尼,Seyed Hossein Hosseini,守门员,1992-6-30,,
G,埃及,2,亚西尔·易卜拉欣,Yasser Ibrahim,后卫,1993-2-10,,
G,埃及,3,穆罕默德·哈尼,Mohamed Hany,后卫,1996-1-25,,
G,埃及,4,霍萨姆·阿卜杜勒马吉德,Hossam Abdelmaguid,后卫,2001-4-30,,
G,埃及,5,拉米·拉比亚,Ramy Rabia,后卫,1993-5-20,,
G,埃及,6,阿卜杜勒穆奈姆,Mohamed Abdel Monem,后卫,1999-2-1,,
G,埃及,13,艾哈迈德·法图赫,Ahmed Fatouh,后卫,1998-3-22,,
G,埃及,15,卡里米·哈菲兹,Karim Hafez,后卫,1996-3-12,,
G,埃及,8,埃玛姆·阿舒尔,Emam Ashour,中场,1998-2-20,,
